Rank,ETF,HB,Primary Category,Secondary Category,18m,12m,12-1,6m,1m
1,PSI,HB,Growth & Technology,Semiconductors,120.4%,121.5%,215.7%,41.7%,-29.8%
2,FTXL,HB,Growth & Technology,Semiconductors,149.9%,127.7%,194.6%,44.8%,-22.7%
3,AIS,HB,Transportation & Trade,Marine Shipping,177.4%,128.6%,187.5%,59.2%,-20.5%
4,EWY,,International,South Korea Equity,233.9%,147.5%,177.3%,47.2%,-10.7%
5,SOXX,,Growth & Technology,Semiconductors,133.2%,111.9%,166.9%,46.9%,-20.6%
6,SOXQ,HB,Growth & Technology,Semiconductors,128.6%,104.3%,153.7%,43.3%,-19.5%
7,SMH,HB,Growth & Technology,Semiconductors,127.0%,91.5%,127.1%,37.1%,-15.7%
8,LIT,HB,Natural Resources,Lithium & Battery,87.9%,85.6%,91.0%,8.7%,-2.8%
9,EWT,HB,International,Taiwan Equity,109.7%,84.9%,86.1%,58.5%,-0.7%
10,XBI,,Defensive Equity,Biotech,75.2%,89.6%,84.7%,30.2%,2.6%
11,COPX,HB,Natural Resources,Copper Miners,147.3%,119.3%,78.8%,11.3%,22.7%
12,QCLN,HB,Growth & Technology,Clean Energy,45.8%,38.5%,73.8%,-0.8%,-20.3%
13,EPU,HB,International,Peru Equity,129.1%,89.7%,71.6%,6.6%,10.5%
14,SIL,,Natural Resources,Silver Miners,186.6%,109.4%,63.6%,5.1%,28.0%
15,DRIV,HB,Growth & Technology,Autonomous/EV,49.2%,44.0%,60.6%,7.6%,-10.3%
16,SLV,,Natural Resources,Silver,110.5%,80.1%,60.5%,-20.4%,12.2%
17,BDRY,HB,Transportation & Trade,Dry Bulk Freight,169.0%,109.7%,60.4%,34.6%,30.7%
18,QTEC,HB,Growth & Technology,Technology,58.9%,47.5%,56.2%,34.2%,-5.5%
19,AIRR,,Industrials,U.S. Industrials,38.0%,25.6%,52.8%,-0.7%,-17.8%
20,OIH,HB,Natural Resources,Oil Services,51.0%,71.6%,52.6%,20.1%,12.4%
21,PICK,HB,Natural Resources,Metals & Mining,86.4%,71.3%,51.5%,12.8%,13.1%
22,XME,HB,Natural Resources,Metals & Mining,100.2%,61.9%,45.8%,0.0%,11.0%
23,DXJ,HB,International,Japan Hedged Equity,63.1%,50.9%,45.4%,17.9%,3.8%
24,XLK,,Growth & Technology,Technology,60.9%,41.3%,45.0%,29.1%,-2.5%
25,IBB,HB,Defensive Equity,Biotechnology,50.7%,57.4%,43.3%,21.2%,9.9%
26,MTUM,HB,Broad Equity & Factors,Momentum Factor,36.8%,24.2%,42.1%,17.1%,-12.6%
27,SCHA,,Broad Equity & Factors,Small Cap Blend,28.2%,33.0%,40.3%,14.0%,-5.2%
28,SPMO,,Broad Equity & Factors,Momentum Factor,46.7%,26.9%,39.6%,22.4%,-9.1%
29,IYW,HB,Growth & Technology,Technology,57.3%,38.5%,39.1%,26.6%,-0.4%
30,FTEC,HB,Growth & Technology,Technology,56.2%,39.3%,38.8%,28.5%,0.4%
31,VGT,,Growth & Technology,Technology,55.8%,39.1%,38.5%,28.4%,0.5%
32,ROBO,HB,Growth & Technology,Robotics,36.4%,29.4%,37.4%,11.4%,-5.9%
33,ARKQ,HB,Growth & Technology,Autonomy & Robotics,49.2%,26.0%,36.2%,-1.3%,-7.5%
34,IWO,HB,Broad Equity & Factors,Small Growth,27.6%,30.6%,35.8%,12.7%,-3.8%
35,XAR,HB,Industrials,Aerospace & Defense,49.2%,20.9%,31.1%,-4.1%,-7.8%
36,XMMO,HB,Broad Equity & Factors,Mid Cap Momentum,17.3%,17.4%,30.5%,9.2%,-10.0%
37,QQQ,,Growth & Technology,Nasdaq-100,37.2%,26.8%,30.3%,15.2%,-2.7%
38,QQQM,,Growth & Technology,Nasdaq-100,37.2%,26.8%,30.3%,15.2%,-2.6%
39,VBK,,Broad Equity & Factors,Small Growth,20.6%,24.6%,29.5%,12.5%,-3.8%
40,PAVE,,Industrials,Infrastructure,30.8%,21.1%,29.0%,9.0%,-6.1%
41,VEA,,International,Developed Markets,46.3%,30.0%,26.7%,10.4%,2.5%
42,BOAT,HB,Transportation & Trade,Shipping,77.1%,62.9%,26.1%,36.8%,29.2%
43,CALF,HB,Broad Equity & Factors,Small Cap Value,31.1%,43.9%,25.9%,27.5%,14.3%
44,FNDX,,Broad Equity & Factors,Fundamental Equity,32.0%,31.6%,25.9%,14.6%,4.5%
45,ONEQ,,Broad Equity & Factors,Nasdaq Composite,34.8%,25.1%,24.1%,12.7%,0.8%
46,HEFA,,International,Developed ex-US Hedged,29.9%,24.9%,24.0%,10.4%,0.7%
47,VHT,HB,Defensive Equity,Health Care,18.5%,32.9%,23.8%,11.7%,7.3%
