Rank,ETF,HB,Primary Category,Secondary Category,18m,12m,12-1,6m,3m,1m,1d
1,FTXL,HB,Growth & Technology,Semiconductors,1.7619067683732204,1.2954158093040968,1.338421257721972,0.589822687134592,-0.07381944892730075,-0.01839080459770115,0.028962444302991663
2,PSI,HB,Growth & Technology,Semiconductors,1.5198215362999434,1.1357029544684116,1.2968731030769942,0.5080306907323744,-0.07252243112768786,-0.07016937435188386,0.037008481110254454
3,EWY,,International,South Korea Equity,2.393364544901203,1.6029570628865288,1.2965128113156497,0.4678450248559931,0.061818596951880966,0.13343894711186932,0.0302392556490918
4,AIS,HB,Transportation & Trade,Marine Shipping,1.9022964509394575,1.2887718142904183,1.253210405004939,0.6593459059441396,-0.018636171113934674,0.015782551512494525,0.034375000000000044
5,SOXX,,Growth & Technology,Semiconductors,1.5221178106053252,1.126969535398306,1.1911164316064187,0.5996231215989771,-0.04185960391413457,-0.029275895741005087,0.0293309438470728
6,SOXQ,HB,Growth & Technology,Semiconductors,1.5030509169666355,1.0692769893751306,1.1327186191863703,0.5563442896738195,-0.04410797877654371,-0.02974683544303791,0.0288590604026846
7,SMH,HB,Growth & Technology,Semiconductors,1.4686428534039018,0.9537248017774296,0.9777072884948463,0.48347172587765375,-0.009022450806579152,-0.012126408623224005,0.02162504524068032
8,EWT,HB,International,Taiwan Equity,1.2455523230502248,0.9717692495083181,0.7987389575530752,0.6080264672036826,0.13978384991843407,0.09619533241812128,0.015073095432670547
9,COPX,HB,Natural Resources,Copper Miners,1.3099034801267435,0.8596896019212414,0.7632233241123314,0.13956920560804909,0.12981850318156596,0.05471018701359043,-0.004931506849315093
10,BDRY,HB,Transportation & Trade,Dry Bulk Freight,1.6216216216216215,1.0459057071960296,0.7295285359801487,0.5764818355640533,0.2984251968503937,0.18292682926829262,0.021685254027261402
11,XBI,,Defensive Equity,Biotech,0.8686052249752656,0.7554033567172578,0.6605021650206104,0.31847042330323694,0.2706173890290078,0.05715210355987055,-0.00638763839883183
12,EPU,HB,International,Peru Equity,1.370582727666044,0.6882757086620002,0.6380926381289791,0.12635823985695271,0.19274118982353805,0.030635062611806818,-0.0032439446366782088
13,LIT,HB,Natural Resources,Lithium & Battery,0.8340311072392603,0.5865689469383799,0.5508026113365021,0.07870736739637607,-0.04982829663128907,0.023063112829719623,-0.005103411227504684
14,OIH,HB,Natural Resources,Oil Services,0.7438060442665135,0.6764452177139673,0.5470265509350694,0.1380815900141965,0.024547865927176282,0.08365639665374425,-0.011470184500127933
15,PICK,HB,Natural Resources,Metals & Mining,0.8343468422103995,0.6176453604501124,0.5458769371817545,0.14497216043592887,0.06324139813863106,0.04642570281124492,-0.0006136851795029985
16,SLV,,Natural Resources,Silver,1.0077258985555928,0.6184673707013268,0.512320606552938,-0.2129312615222544,-0.02923501705375986,0.07018800358102073,-0.012881915772089081
17,BOAT,HB,Transportation & Trade,Shipping,1.1128493331439708,0.7265424790588371,0.48265943755495244,0.30295491784279815,0.27175332927068574,0.1644902634593357,0.009533267130089396
