Rank,ETF,HB,Primary Category,Secondary Category,18m,12m,12-1,6m,3m,1m,1d,Transition State,HIL Summary
1,FTXL,HB,Growth & Technology,Semiconductors,1.7807013201709077,1.311035712738891,1.338421257721972,0.6006411526826776,-0.06751695213682762,-0.011711125569290881,0.035964353914704095,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d up.
2,PSI,HB,Growth & Technology,Semiconductors,1.547923817311105,1.159521464648385,1.2968733813337416,0.5248488768743713,-0.06217881511795953,-0.05979951607328038,0.04857363145720894,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d up.
3,EWY,,International,South Korea Equity,2.445354056528815,1.642836794255342,1.2965128113156497,0.490333780478182,0.07808664878132321,0.15080428954423586,0.04602348249889232,REACCELERATING,"Positive trend cooled, then strengthened into 1m; 1d up."
4,AIS,HB,Growth & Technology,AI Infrastructure,1.936534446764092,1.315772143562726,1.253210405004939,0.6789209835282883,-0.007059155724975286,0.02776559988309213,0.04657738095238084,MIXED_TRANSITION,Positive long and 1m momentum with mixed middle horizons; 1d up.
5,SOXX,,Growth & Technology,Semiconductors,1.536413373225165,1.139025366436778,1.1911164316064187,0.6086899115826985,-0.03642878859962073,-0.023773754976338823,0.0351652727996814,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d up.
6,SOXQ,HB,Growth & Technology,Semiconductors,1.5144803732084924,1.0787257427512729,1.1327186191863703,0.5634509855190464,-0.0397431750266648,-0.025316455696202445,0.033557046979865834,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d up.
7,SMH,HB,Growth & Technology,Semiconductors,1.4793998482128181,0.9622380654606684,0.9777072884948463,0.48993588396047927,-0.0047043128719128635,-0.007821796038356643,0.026076728193991983,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d up.
8,EWT,HB,International,Taiwan Equity,1.253386345824977,0.9786481296166305,0.7987389575530752,0.6136363636363638,0.14376019575856458,0.10001961168856632,0.0186143648415511,REACCELERATING,"Positive trend cooled, then strengthened into 1m; 1d up."
9,COPX,HB,Natural Resources,Copper Miners,1.3063417311208179,0.856822239098896,0.7632233241123314,0.1378121605773759,0.12807649227357665,0.05308398187942842,-0.006465753424657605,STEADY_POSITIVE,"Positive across long, 6m, 3m, and 1m horizons; 1d down."
10,BDRY,HB,Transportation & Trade,Dry Bulk Freight Futures,1.6327503974562796,1.0545905707196028,0.7295285359801487,0.5831739961759079,0.3039370078740158,0.18794835007173605,0.026022304832713727,ACCELERATING,Positive trend strengthening through 1m; 1d up.
11,XBI,,Defensive Equity,Biotech,0.8740967483205673,0.7605620540331652,0.660502028863464,0.32234519097105996,0.27435152450157196,0.06025889967637532,-0.0034675751307944314,STEADY_POSITIVE,"Positive across long, 6m, 3m, and 1m horizons; 1d down."
12,EPU,HB,International,Peru Equity,1.3703255587869303,0.6880925587695439,0.6380926381289791,0.12623604868317773,0.1926117972015131,0.03052325581395343,-0.003352076124567449,STEADY_POSITIVE,"Positive across long, 6m, 3m, and 1m horizons; 1d down."
13,LIT,HB,Natural Resources,Lithium & Battery,0.8365068511745186,0.5887106436810075,0.5508026113365021,0.08016350585128484,-0.048545667442076335,0.02444413755006236,-0.0037604082728980304,MIXED_TRANSITION,Positive long and 1m momentum with mixed middle horizons; 1d down.
14,OIH,HB,Natural Resources,Oil Services,0.754682258767799,0.6869012990238477,0.5470265509350694,0.14517986767738988,0.030938027489751496,0.09041522138339109,-0.0053046695051301995,REACCELERATING,"Positive trend cooled, then strengthened into 1m; 1d down."
15,PICK,HB,Natural Resources,Global Metals & Mining,0.8320938409509537,0.6156588443481128,0.545877083625423,0.14356599259996217,0.06193560581669222,0.045140562248995986,-0.0018410555385087735,REACCELERATING,"Positive trend cooled, then strengthened into 1m; 1d down."
16,SLV,,Natural Resources,Silver Bullion,1.0094054417198524,0.619821283509342,0.512320606552938,-0.21227284698446136,-0.02842293324671108,0.07108325872873777,-0.01205615194054499,MIXED_TRANSITION,Positive long and 1m momentum with mixed middle horizons; 1d down.
17,BOAT,HB,Transportation & Trade,Global Shipping,1.1136805050385403,0.7272218190073159,0.48265943755495244,0.3034675894610721,0.272253724049073,0.1649484536082475,0.009930486593842991,ACCELERATING,Positive trend strengthening through 1m; 1d up.
18,QTEC,HB,Growth & Technology,Technology,0.6479132541324786,0.46852784727094354,0.464012917780535,0.4128509495728032,0.02384325934837994,0.003083941019627945,0.007030670493759494,COOLING,Positive trend losing velocity into 1m; 1d up.
19,XLK,,Growth & Technology,Technology,0.7050811834036075,0.43361890634831,0.4186917551982716,0.36744449508919996,0.03995183621570808,0.01052177197431603,0.007044146905414772,COOLING,Positive trend losing velocity into 1m; 1d up.
20,DXJ,HB,International,Japan Hedged Equity,0.6690113591472602,0.43319488629902114,0.414560247003918,0.15597274423187635,0.07046149819234748,0.01317345043067042,-0.00038880248833583764,COOLING,Positive trend losing velocity into 1m; 1d down.
21,SIL,,Natural Resources,Silver Miners,1.7631991808202052,0.6674520561524815,0.39824814377334694,-0.017811555151455605,0.25412374598516996,0.1925294258947874,-0.020422257300710234,MIXED_TRANSITION,Positive long and 1m momentum with mixed middle horizons; 1d down.
22,FTEC,HB,Growth & Technology,Technology,0.669553783211627,0.39993876363850744,0.3812606549397253,0.35287459803728516,0.05190238239749112,0.013522508320196192,0.0029119145838387706,COOLING,Positive trend losing velocity into 1m; 1d up.
23,QCLN,HB,Growth & Technology,Clean Energy,0.6565620216387955,0.3219858657217809,0.37868443006186125,0.09787158280603903,-0.19482000325785964,-0.04112512124151302,0.006106248727864694,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d up.
24,IBB,HB,Defensive Equity,Biotechnology,0.5545609482485079,0.5137823270846265,0.37841909993167433,0.2658427724426453,0.258310370776321,0.09820179302482246,-0.00883962396520277,ACCELERATING,Positive trend strengthening through 1m; 1d down.
25,VGT,,Growth & Technology,Technology,0.6640376940542052,0.39699831212447556,0.37776035400418295,0.35225382947984296,0.05321266058152796,0.013963210702341078,0.0032263401720715734,COOLING,Positive trend losing velocity into 1m; 1d up.
26,DRIV,HB,Growth & Technology,Autonomous & Electric Vehicles,0.5455957151788788,0.36713314027613686,0.3722461238272272,0.15482632933568974,-0.09814700180204816,-0.003725995987388986,0.007828356045230356,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d up.
27,IYW,HB,Growth & Technology,Technology,0.6676001184934695,0.38693451031894255,0.3720418417781526,0.3458530565264364,0.05029853769887338,0.01085438365457514,0.0030490219371188676,COOLING,Positive trend losing velocity into 1m; 1d up.
28,XME,HB,Natural Resources,Metals & Mining,1.0830860311152435,0.45952689514774536,0.3577709735251533,0.07839758760940141,0.0008529035749034186,0.07494336202990493,0.0020273694880892368,REACCELERATING,"Positive trend cooled, then strengthened into 1m; 1d up."
29,VDE,HB,Natural Resources,Energy,0.5836572413313341,0.4824405211850811,0.34731497583838467,0.14546164894925662,0.11969012952716196,0.10029246892517674,-0.00867369345630209,STEADY_POSITIVE,"Positive across long, 6m, 3m, and 1m horizons; 1d down."
30,XLE,,Natural Resources,Energy,0.5662266246922192,0.4830732318209987,0.34648047397298276,0.14802114896752006,0.11881371551820608,0.10144429160935364,-0.008666047663262177,STEADY_POSITIVE,"Positive across long, 6m, 3m, and 1m horizons; 1d down."
31,DBC,,Inflation & Real Assets,Broad Commodity Futures,0.5077104562234127,0.4846297810310287,0.3431478207070686,0.15957833515085418,0.09134450906602809,0.10533610533610527,-0.001877346683354264,STEADY_POSITIVE,"Positive across long, 6m, 3m, and 1m horizons; 1d down."
32,ROBO,HB,Growth & Technology,Robotics,0.4279585479905097,0.2805972035126587,0.32033275035120456,0.11933870519588763,-0.03370112736867359,-0.030095100517635753,0.010028832894571904,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d up.
33,XAR,HB,Industrials,Aerospace & Defense,0.5446504306874409,0.1788140589983993,0.3185919873131313,-0.09382844759776487,-0.0718891493666115,-0.1060054434272385,-0.003977474107037415,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d down.
34,AIRR,,Industrials,U.S. Industrial Renaissance,0.5426742463901268,0.18267601876923067,0.31778304740346397,-0.01472508712312759,-0.15042588106587484,-0.10252600297176817,0.010033444816053505,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d up.
35,XOP,HB,Natural Resources,Oil & Gas E&P,0.6189415433818992,0.4755470636917334,0.2924866917817843,0.1723325472199564,0.15455587301785356,0.14163424124513613,-0.008423022929340274,ACCELERATING,Positive trend strengthening through 1m; 1d down.
36,ARKQ,HB,Growth & Technology,Autonomy & Robotics,0.7053554928268708,0.27431787619113135,0.28422055089363907,0.029907329401853477,-0.05671296296296291,-0.007711038961038974,-0.004559889259832306,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d down.
37,EWZ,,International,Brazil Equity,0.6394296452852541,0.35617700777680183,0.282744285485665,0.05348465783876932,0.12379964112215425,0.05724657916783005,-0.007081038552321117,STEADY_POSITIVE,"Positive across long, 6m, 3m, and 1m horizons; 1d down."
38,SPMO,,Broad Equity & Factors,Momentum Factor,0.5589922376025815,0.2867870026424868,0.28145833618751537,0.2717691990035427,0.039296899621465986,0.004158283031522547,0.015670578658164347,COOLING,Positive trend losing velocity into 1m; 1d up.
39,CALF,HB,Broad Equity & Factors,Small Cap Cash Flow,0.5455962817152487,0.33369970352510414,0.27533870646618497,0.2708930358411168,0.16008530847426128,0.04576117447311745,-0.007260155574762339,STEADY_POSITIVE,"Positive across long, 6m, 3m, and 1m horizons; 1d down."
40,IWM,,Broad Equity & Factors,Small Cap Blend,0.4418594130928397,0.26414671528310385,0.27371290778414825,0.1847492268813271,0.053484651302435404,-0.007510477787091352,0.0027778718791287016,CORRECTION,Established trend; positive 3m but negative 1m; 1d up.
41,SCHA,,Broad Equity & Factors,Small Cap Blend,0.433793337924715,0.2722682033671824,0.26784932682871476,0.18857525378664852,0.043971844374046665,0.003485332558814891,0.009938614440222038,COOLING,Positive trend losing velocity into 1m; 1d up.
42,MTUM,HB,Broad Equity & Factors,Momentum Factor,0.4508515421590822,0.25347549832189764,0.26708503679675655,0.2649924459663764,-0.004154334153843142,-0.01074082486939032,0.018168459020773575,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d up.
43,ITA,,Industrials,Aerospace & Defense,0.4906181800510183,0.14224053636074707,0.26567400241488914,-0.0672382520165622,-0.016045468748558056,-0.09752390095603825,-0.0016373130365517907,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d down.
44,HEFA,,International,Developed ex-US Currency-Hedged,0.34432464504186333,0.2690509475067042,0.26556675271946273,0.129270688345682,0.06803907799689601,0.002753070732740337,0.0033905488450944876,STEADY_POSITIVE,"Positive across long, 6m, 3m, and 1m horizons; 1d up."
45,VEA,,International,Developed Markets,0.46325424863093034,0.29333364685358854,0.2645773130569522,0.1377823091565502,0.071971220943017,0.02273987798114252,0.004357298474945592,STEADY_POSITIVE,"Positive across long, 6m, 3m, and 1m horizons; 1d up."
46,FNDX,,Broad Equity & Factors,Fundamental Large Cap,0.39204271874330754,0.2816844561819696,0.26362150122352257,0.1653205362489003,0.06586853355928812,0.01429459291485391,-0.0045745654162854255,COOLING,Positive trend losing velocity into 1m; 1d down.
47,PAVE,,Industrials,U.S. Infrastructure Development,0.425998814187043,0.19299444693131385,0.2619874180283208,0.07128209029965205,-0.025110642369536085,-0.05467009425878333,0.008593892850612628,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d up.
48,SCHD,,Broad Equity & Factors,Dividend,0.310553132441999,0.3029247537752928,0.2617403506387177,0.1363270661486402,0.0859799973215547,0.03264094955489605,-0.007981755986317007,ACCELERATING,Positive trend strengthening through 1m; 1d down.
